entity_label,attribute,record_key,source_system,source_record_id,rule,survivorship_version
E1,address,crm:C009,crm,C009,recency,1
E1,birth_date,crm:C001,crm,C001,tiebreak_deterministic,1
E1,email,crm:C009,crm,C009,recency,1
E1,family_name,crm:C001,crm,C001,tiebreak_deterministic,1
E1,given_name,crm:C001,crm,C001,frequency,1
E1,phone_e164,crm:C009,crm,C009,recency,1
E10,address,webforms:W007,webforms,W007,tiebreak_deterministic,1
E10,birth_date,webforms:W007,webforms,W007,tiebreak_deterministic,1
E10,email,webforms:W007,webforms,W007,tiebreak_deterministic,1
E10,family_name,webforms:W008,webforms,W008,completeness,1
E10,given_name,webforms:W007,webforms,W007,tiebreak_deterministic,1
E10,phone_e164,webforms:W007,webforms,W007,tiebreak_deterministic,1
E2,address,webforms:W003,webforms,W003,recency,1
E2,birth_date,crm:C002,crm,C002,source_priority,1
E2,email,crm:C002,crm,C002,source_priority,1
E2,family_name,crm:C002,crm,C002,source_priority,1
E2,given_name,crm:C002,crm,C002,source_priority,1
E2,phone_e164,crm:C002,crm,C002,source_priority,1
E3,address,webforms:W004,webforms,W004,recency,1
E3,birth_date,crm:C003,crm,C003,source_priority,1
E3,email,crm:C003,crm,C003,source_priority,1
E3,family_name,crm:C003,crm,C003,source_priority,1
E3,given_name,crm:C003,crm,C003,source_priority,1
E3,phone_e164,crm:C003,crm,C003,source_priority,1
E4,address,billing:B004,billing,B004,recency,1
E4,birth_date,crm:C004,crm,C004,source_priority,1
E4,email,crm:C004,crm,C004,validated,1
E4,family_name,crm:C004,crm,C004,source_priority,1
E4,given_name,crm:C004,crm,C004,source_priority,1
E4,phone_e164,crm:C004,crm,C004,source_priority,1
E5,address,billing:B005,billing,B005,recency,1
E5,birth_date,crm:C006,crm,C006,source_priority,1
E5,email,crm:C006,crm,C006,source_priority,1
E5,family_name,crm:C006,crm,C006,source_priority,1
E5,given_name,crm:C006,crm,C006,source_priority,1
E5,phone_e164,crm:C006,crm,C006,source_priority,1
E6,address,billing:B006,billing,B006,recency,1
E6,birth_date,billing:B006,billing,B006,source_priority,1
E6,email,billing:B006,billing,B006,source_priority,1
E6,family_name,billing:B006,billing,B006,source_priority,1
E6,given_name,billing:B006,billing,B006,source_priority,1
E6,phone_e164,billing:B006,billing,B006,source_priority,1
E7,address,billing:B007,billing,B007,recency,1
E7,birth_date,crm:C007,crm,C007,source_priority,1
E7,email,crm:C007,crm,C007,validated,1
E7,family_name,crm:C007,crm,C007,source_priority,1
E7,given_name,crm:C007,crm,C007,source_priority,1
E7,phone_e164,crm:C007,crm,C007,source_priority,1
E8,address,crm:C005,crm,C005,recency,1
E8,birth_date,crm:C005,crm,C005,source_priority,1
E8,email,crm:C005,crm,C005,source_priority,1
E8,family_name,crm:C005,crm,C005,source_priority,1
E8,given_name,crm:C005,crm,C005,source_priority,1
E8,phone_e164,crm:C005,crm,C005,source_priority,1
E9,address,crm:C008,crm,C008,tiebreak_deterministic,1
E9,birth_date,crm:C008,crm,C008,tiebreak_deterministic,1
E9,email,crm:C008,crm,C008,tiebreak_deterministic,1
E9,family_name,crm:C008,crm,C008,tiebreak_deterministic,1
E9,given_name,crm:C008,crm,C008,tiebreak_deterministic,1
E9,phone_e164,crm:C008,crm,C008,tiebreak_deterministic,1
